name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
OGLE-TR-10 b,Confirmed,0.68,0.15,0.15,,,,1.72,0.11,0.11,3.10129,1.00E-05,1.00E-05,0.04162,4.00E-05,4.00E-05,0,,,84.5,0.6,0.6,2.80E-05,2004,8/16/14,,,,,,,,,,2453890.678,0.001,0.001,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,OGLE-TR-10,267.8666667,-29.8761111,,14.93,,,,1500,,,0.28,0.1,0.1,1.18,0.04,0.04,1.16,0.06,0.06,G or K,1.1,86,86,6075,,,,,
OGLE-TR-111 b,Confirmed,0.54,0.1,0.1,,,,1.077,0.075,0.075,4.01451,4.10E-06,4.10E-06,0.047,0.001,0.001,0,,,88.1,0.5,0.5,3.10E-05,2004,2/26/16,,,,,,,,,,2453470.568,0.0005,0.0005,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,OGLE-TR-111,163.325,-61.4055556,,15.55,,,,1500,,,0.12,0.28,0.28,0.82,0.15,0.15,0.831,0.031,0.031,G or K,1.1,nan,inf,5070,400,400,,,
OGLE-TR-113 b,Confirmed,1.24,0.17,0.17,,,,1.11,0.05,0.05,1.4324772,1.20E-06,1.20E-06,0.0229,0.0002,0.0002,0,,,89.4,0.6,0.6,1.50E-05,2004,2/26/16,,,,,,,,,,2453471.778,0.0005,0.0005,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,OGLE-TR-113,163.1,-61.4466667,,14.42,,,,1500,,,0.14,0.14,0.14,0.78,0.02,0.02,0.765,0.025,0.025,K,0.7,,,4752,130,130,,,
Qatar-6 b,Confirmed,0.668,0.066,0.066,,,,1.062,0.07,0.07,3.506189,2.00E-05,2.00E-05,0.0423,0.0004,0.0004,0,,,86.01,0.14,0.14,,2017,12/11/17,,,,,,,,,,2457784.033,0.00049,0.00049,,,,,,,0.878,0.016,0.016,,,,101.6,9.6,9.6,1006,18,18,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-6,222.2083334,22.15250001,11.4,,,,,101,6,6,-0.025,0.093,0.093,0.822,0.021,0.021,0.722,0.02,0.02,K2V,1,0.5,0.5,5052,66,66,,,
Ross 128 b,Confirmed,0.0044,0.00066,0.00066,0.0044,0.00066,0.00066,0,,,9.8658,0.007,0.007,0.0496,0.0017,0.0017,0.116,0.097,0.097,,,,,2017,11/17/17,,,,,,,,,,,,,,,,,,,,,,,,,1.39,0.18,0.18,256,45,45,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Ross 128,176.9333333,0.804444464,11.15,,,,,3.3806,0.0064,0.0064,-0.02,0.08,0.08,0.168,0.017,0.017,0.1967,0.0077,0.0077,M4,5,,,3192,60,60,,,
TRAPPIST-1 b,Confirmed,0.0027,0.0023,0.0023,,,,0.09689,0.00031,0.00031,1.51087081,6.00E-05,6.00E-05,0.01111,0.00034,0.00034,0,0,0.081,89.65,0.27,0.27,,2016,9/1/17,,,,,,,,,,2457322.517,0.0001,0.0001,,,,,,,0.126,0.078,0.092,,,,,,,400.1,7.7,7.7,,,0,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 c,Confirmed,0.00434,0.0019,0.0019,,,,0.09421,0.00031,0.00031,2.4218233,1.70E-06,1.70E-06,0.01521,0.00047,0.00047,0,0,0.083,89.67,0.17,0.17,,2016,9/1/17,,,,,,,,,,2457282.807,0.00019,0.00019,,,,,,,0.161,0.084,0.076,,,,,,,341.9,6.6,6.6,,,0,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 d,Confirmed,0.0013,0.00085,0.00085,,,,0.0689,0.0027,0.0027,4.04961,6.30E-05,6.30E-05,0.02144,0.00063,0.00066,0,0,0.7,89.75,0.16,0.16,,2016,9/1/17,,,,,,,,,,2457670.142,0.00035,0.00035,,,,,,,0.17,0.11,0.11,,,,,,,288,5.6,5.6,,,0,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 e,Confirmed,0.002,0.0018,0.0018,,,,0.0819,0.0035,0.0035,6.099615,1.10E-05,1.10E-05,0.02817,0.00087,0.00083,0,0.085,0.085,89.86,0.12,0.1,,2017,9/1/17,,,,,,,,,,2457660.379,0.00038,0.00038,,,,,,,0.12,0.09,0.11,,,,,,,251.3,4.9,4.9,,,0,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,2MASS J23062928-0502285 e,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 f,Confirmed,0.0021,0.00057,0.00057,,,,0.09323,0.0034,0.0034,9.20669,1.50E-05,1.50E-05,0.0371,0.0011,0.0011,0,0,0.063,89.68,0.034,0.034,,2017,9/1/17,,,,,,,,,,2457671.398,0.00023,0.00023,,,,,,,0.382,0.035,0.035,,,,,,,219,4.2,4.2,,,0,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 g,Confirmed,0.00422,0.0028,0.0028,,,,0.1005,0.0037,0.0037,12.35294,0.00012,0.00012,0.0451,0.0014,0.0014,0,0,0.061,89.71,0.025,0.025,,2017,9/1/17,,,,,,,,,,2457665.349,0.00021,0.00021,,,,,,,0.421,0.031,0.031,,,,,,,198.6,3.8,3.8,,,0,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TW Hya b,Unconfirmed,1.2,0.4,0.4,,,,0,,,3.56,0.02,0.02,0.041,0.002,0.002,0.04,0.03,0.03,7,1,1,0.000759,2007,8/23/08,105,27,27,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,TW Hya,165.4666667,-34.7047222,11.1,9.18,8.22,7.56,7.3,54,5,5,,,,0.7,0.1,0.1,1.08,,,K8V,0.009,0.001,0.001,3600,,,Imaging,,
TYC 4282-605-1 b,Confirmed,10.78,0.12,0.12,10.78,0.12,0.12,0,,,101.54,0.05,0.05,0.422,0.009,0.009,0.28,0.01,0.01,,,,,2017,6/29/17,288.94,2.38,2.38,,,,,,,,,,,,,,,,,,,,,,495.2,5.1,5.1,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,, TYC 4282-605-1,343.8719088,62.23912473,10.58,,,,,700,143,143,-0.07,0.16,0.16,0.97,0.03,0.03,16.21,4.01,4.01,K,10.1,0.05,0.05,4300,50,50,,,
TrES-2 ,Confirmed,1.253,0.052,0.052,,,,1.189,0.025,0.025,2.470613374,1.87E-08,1.87E-08,0.03555,0.00075,0.00075,0,,,83.908,0.009,0.009,0.000162,2006,9/1/14,,,,,,,,,,2453957.635,1.29E-05,1.29E-05,,,,,,,,,,,,,,,,1455,,,,,0,,,,Submitted to a professional journal,Primary Transit,,,,,TrES-2,286.8083333,49.3163889,11.41,,,,,220,10,10,-0.15,0.1,0.1,0.98,0.062,0.062,1,0.036,0.036,G0V,5.1,2.7,2.7,5850,50,50,,,
TrES-4 ,Confirmed,0.917,0.07,0.07,,,,1.706,0.056,0.056,3.5539268,3.20E-06,3.20E-06,0.05084,0.0005,0.0005,0,,,82.81,0.37,0.37,0.000106,2007,12/28/12,,,,,,,,,,2454230.905,0.00062,0.00062,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Primary Transit,,,,,TrES-4,268.3041667,37.2116667,11.592,,,,,479,26,26,0.14,0.09,0.09,1.388,0.042,0.042,1.798,0.052,0.052,F,2.9,0.3,0.3,6200,75,75,,,
V391 Peg b,Confirmed,3.2,0.7,0.7,,,,0,,,1170,44,44,1.7,0.1,0.1,0,,,,,,0.001214,2007,8/22/14,,,,,,,2452418,96,96,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Pulsar,,,,,V391 Peg,331.05,26.4188889,14.57,,15.17,15.16,15.38,1400,180,180,,,,0.5,0.05,0.05,0.23,0.03,0.03,sdB,10,nan,inf,29300,500,500,,,
V830 Tau b,Confirmed,0.77,0.15,0.15,0.63,0.11,0.11,0,,,4.93,0.05,0.05,0.057,0.001,0.001,0,,,55,,,,2016,8/3/16,,,,,,,,,,,,,,,,,,,,,,2457360.52,0.1,0.1,75,11,11,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,V830 Tau,68.29166667,24.56194447,12.1,,,,,131,3,3,,,,1,0.05,0.05,2,0.2,0.2,M0,0.002,,,4250,50,50,,Yes,
WASP-10 b,Confirmed,3.16,0.23,0.23,,,,1.08,0.02,0.02,3.0927616,1.82E-05,1.82E-05,0.0371,0.0013,0.0013,0.057,0.005,0.005,86.8,0.5,0.5,0.000412,2008,5/30/14,2.737,0.166,0.166,,,,,,,2454357.858,0.0003,0.0003,,,,,,,,,,,,,,,,0,,,,,0,,,,Announced on a professional conference,Primary Transit,,,,,WASP-10,348.9916667,31.4627778,12.7,,,,,90,20,20,0.03,0.2,0.2,0.71,0.071,0.071,0.783,0.043,0.043,K5,0.8,0.2,0.2,4675,100,100,,,
WASP-108 b,Confirmed,1.167,0.091,0.092,1.167,0.091,0.091,1.215,0.04,0.04,2.6755463,2.10E-06,2.10E-06,0.0397,0.001,0.001,0,,,88.49,0.84,0.84,,2014,10/29/14,,,,,,,,,,2456413.79,0.00015,0.00015,,,,,,,0.19,,,,,,117.8,3.5,3.5,1590,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-108,195.8291667,-49.63972224,11.2,,,,,220,0.115,0.115,0.05,0.11,0.11,1.167,0.092,0.092,1.215,0.04,0.04,F9,4.6,1.9,1.9,6000,140,140,,,
WASP-109 b,Confirmed,0.91,0.13,0.13,0.91,0.13,0.13,1.443,0.053,0.053,3.3190233,4.20E-06,4.20E-06,0.0463,0.0011,0.0011,0,,,84.28,0.19,0.19,,2014,1/10/16,,,,,,,,,,2456361.193,0.00023,0.00023,,,,,,,0.737,,,,,,109,15,15,1695,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-109,232.0541667,-16.41083335,11.4,,,,,330,30,30,-0.22,0.08,0.08,1.203,0.09,0.09,1.346,0.044,0.044,F4,2.6,0.9,0.9,6520,140,140,,,
WASP-11-HAT-P-10 b,Confirmed,0.46,0.028,0.028,,,,1.045,0.033,0.033,3.722469,6.70E-06,6.70E-06,0.0439,0.0009,0.0009,0,,,89.8,0.1,0.1,0.000351,2008,8/20/15,,,,,,,,,,2456308.236,0.000107,0.000107,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-11-HAT-P-10,47.3708333,30.6736111,11.89,,,,,125,5,5,0.13,0.08,0.08,0.82,0.03,0.03,0.81,0.02,0.02,K3V,11.2,4.1,4.1,4980,60,60,,,
WASP-110 b,Confirmed,0.515,0.064,0.064,0.515,0.064,0.064,1.238,0.056,0.056,3.7783977,3.10E-06,3.10E-06,0.0457,0.0012,0.0012,0,,,88.06,0.35,0.35,,2014,10/29/14,,,,,,,,,,2456502.724,0.00016,0.00016,,,,,,,0.376,,,,,,71.8,8.2,8.2,1134,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-110,305.875,-44.05833334,12.3,,,,,320,30,30,-0.06,0.1,0.1,0.892,0.072,0.072,0.881,0.035,0.035,G9,8.6,3.5,3.5,5400,140,140,,,
WASP-111 b,Confirmed,1.85,0.16,0.16,1.83,0.15,0.15,1.442,0.094,0.094,2.310965,3.40E-06,3.40E-06,0.03914,0.00098,0.00098,0,,,81.61,0.82,0.82,,2014,10/29/14,,,,,,,,,,2456275.751,0.0004,0.0004,,,,,,,0.665,,,,,,212,14,14,2140,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-111,328.7666667,-22.61250002,10.3,,,,,210,20,20,0.08,0.08,0.08,1.5,0.11,0.11,1.85,0.1,0.1,F5,2.6,0.6,0.6,6400,150,150,,,
WASP-112 b,Confirmed,0.88,0.12,0.12,0.88,0.12,0.12,1.191,0.049,0.049,3.0353992,3.80E-06,3.80E-06,0.0382,0.0011,0.0011,0,,,88.68,0.28,0.28,,2014,10/29/14,,,,,,,,,,2456505.487,0.00013,0.00013,,,,,,,0.475,0.031,0.031,,,,142,17,17,1395,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-112,339.4875,-35.1538889,13.3,,,,,450,30,30,-0.64,0.15,0.15,0.807,0.073,0.073,1.002,0.037,0.037,G6,10.6,3,3,5610,130,130,,,
WASP-119 b,Confirmed,1.23,0.08,0.09,1.23,0.08,0.08,1.4,0.2,0.2,2.49979,1.00E-05,1.00E-05,0.0363,0.0007,0.0007,0.058,0.058,0,85,2,2,,2016,2/5/16,,,,,,,,,,2456537.547,0.002,0.002,,,,,,,0.5,0.24,0.1,,,,181,10,10,1600,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-119,55.94166668,-65.1938889,12.2,,,,,333,29,29,0.14,0.1,0.1,1.02,0.06,0.06,1.2,0.1,0.1,G5,8,2.5,2.5,5650,100,100,,,
WASP-12 b,Confirmed,1.404,0.099,0.099,,,,1.736,0.092,0.092,1.0914222,1.10E-06,1.10E-06,0.02293,0.00078,0.00078,0,0.01,0.01,86,3,3,5.40E-05,2008,6/2/16,,,,,,,,,,2454508.976,0.00028,0.00028,,,,,,,,,,,,,,,,0,,,,,0,,,,Announced on a professional conference,Primary Transit,,,,CO2| HCN| H2O| TiO| C| O I| CO| CH4| VO| H2,WASP-12,97.6375,29.6722222,11.69,11.03,10.48,10.23,10.19,427,90,90,0.3,0.1,0.1,1.35,0.14,0.14,1.599,0.071,0.071,G0,1.7,0.8,0.8,6300,150,150,,,
WASP-124 b,Confirmed,0.6,0.07,0.07,0.6,0.07,0.07,1.24,0.03,0.03,3.37265,1.00E-06,1.00E-06,0.0499,0.0007,0.0007,0.017,0.017,0,86.3,0.2,0.2,,2016,2/5/16,,,,,,,,,,2457028.583,0.0001,0.0001,,,,,,,0.61,0.02,0.02,,,,77,8,8,1400,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-124,332.7125,-30.74944447,12.7,,,,,433,11,11,-0.02,0.11,0.11,1.07,0.05,0.05,1.02,0.02,0.02,F9,2.1,1.4,1.4,6050,100,100,,,
WASP-126 b,Confirmed,0.28,0.04,0.04,0.28,0.04,0.04,0.96,0.05,0.1,3.2888,1.00E-05,1.00E-05,0.0449,0.0008,0.0008,0.18,0.18,0,87.9,1.5,1.5,,2016,2/5/16,,,,,,,,,,2456890.319,0.0006,0.0006,,,,,,,0.3,0.2,0.2,,,,36,5,5,1480,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-126,63.37500001,-69.22694446,10.8,,,,,234,15,15,0.17,0.08,0.08,1.12,0.06,0.06,1.27,0.05,0.1,G2,6.4,1.6,1.6,5800,100,100,,,
WASP-129 b,Confirmed,1,0.1,0.1,1,0.1,0.1,0.93,0.03,0.03,5.748145,1.00E-06,1.00E-06,0.0628,0.0007,0.0007,0.096,0.096,0,87.7,0.2,0.2,,2016,2/5/16,,,,,,,,,,2457027.437,0.0002,0.0002,,,,,,,0.62,0.02,0.02,,,,110,10,10,1100,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-129,176.3,-42.0638889,12.3,,,,,246,7,7,0.15,0.09,0.09,1,0.03,0.03,0.9,0.02,0.02,G1,1,0.9,0.9,5900,100,100,,,
WASP-130 b,Confirmed,1.23,0.04,0.04,,,,0.89,0.03,0.03,11.55098,1.00E-05,1.00E-05,0.1012,0.0014,0.0014,0,,,88.66,0.12,0.12,,2016,7/11/16,,,,,,,,,,2456921.143,2.50E-05,2.50E-05,,,,,,,0.53,0.03,0.03,,,,108,2,2,833,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-130,203.1041667,-42.47527779,11.1,,,,,180,30,30,0.26,0.1,0.1,1.04,0.04,0.04,0.96,0.03,0.03,G6,2,,,5625,90,90,,,
WASP-131 b,Confirmed,0.27,0.02,0.02,,,,1.22,0.05,0.05,5.322023,5.00E-06,5.00E-06,0.0607,0.0009,0.0009,0,,,85,0.3,0.3,,2016,7/11/16,,,,,,,,,,2456919.824,0.0004,0.0004,,,,,,,0.73,0.02,0.02,,,,30.5,1.7,1.7,1400,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-131,210.1916667,-30.58361112,10.1,,,,,250,50,50,0.18,0.08,0.08,1.06,0.06,0.06,1.53,0.05,0.05,G0,4.5,3.5,3.5,6030,90,90,,,
WASP-132 b,Confirmed,0.41,0.03,0.03,,,,0.87,0.03,0.03,7.133521,9.00E-06,9.00E-06,0.067,0.001,0.001,0,,,89.6,0.3,0.3,,2016,7/11/16,,,,,,,,,,2456698.208,0.0004,0.0004,,,,,,,0.14,0.12,0.12,,,,51,3,3,763,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,WASP-132,217.6083333,-46.15916668,12.4,,,,,120,20,20,0.22,0.13,0.13,0.8,0.04,0.04,0.74,0.02,0.02,K4,0.5,,,4775,100,100,,,
WASP-133 b,Confirmed,1.16,0.09,0.09,1.16,0.09,0.09,1.21,0.05,0.05,2.176423,1.00E-06,1.00E-06,0.0345,0.0007,0.0007,0.17,0.17,0,87,1,1,,2016,2/5/16,,,,,,,,,,2457116.987,0.0002,0.0002,,,,,,,0.2,0.1,0.1,,,,170,10,10,1790,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-133,314.575,-35.79666669,12.9,,,,,457,21,21,0.29,0.12,0.12,1.16,0.08,0.08,1.44,0.05,0.05,G4,6.8,1.8,1.8,5700,100,100,,,
WASP-135 b,Confirmed,1.9,0.08,0.08,1.9,0.08,0.08,1.3,0.09,0.09,1.4013794,8.00E-07,8.00E-07,0.0243,0.0005,0.0005,0,,,82,0.6,0.6,,2015,11/19/15,,,,,,,,,,2455230.99,0.0009,0.0009,,,,,,,0.8,0.03,0.03,,,,346,3,3,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-135,267.2833333,29.87916669,13.3,,,,,300,45,45,0.02,0.13,0.13,0.98,0.06,0.06,0.96,0.05,0.05,G5,4.4,2.5,2.5,5680,60,60,,,
WASP-14 b,Confirmed,7.341,0.496,0.508,,,,1.281,0.082,0.075,2.2437661,1.10E-06,1.10E-06,0.036,0.001,0.001,0.087,0.002,0.002,84.79,0.67,0.67,0.000225,2008,5/23/14,252.9,0.5,0.5,,,,,,,2454963.937,0.00025,0.00025,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,WASP-14,218.275,21.8947222,9.75,,,,,160,20,20,0,0.2,0.2,1.211,0.122,0.122,1.306,0.073,0.073,F5V,0.75,0.25,0.25,6475,100,100,,,
WASP-140 b,Confirmed,2.44,0.07,0.07,,,,1.44,0.18,0.42,2.2359835,8.00E-06,8.00E-06,0.0323,0.0005,0.0005,0.047,0.0035,0.0035,83.3,0.8,0.5,,2016,7/11/16,356,8,8,,,,,,,,,,,,,,,,0.99,0.03,0.07,,,,403,3,3,1320,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-140,60.38750001,-20.45111112,11.1,,,,,180,30,30,0.12,0.1,0.1,0.9,0.04,0.04,0.87,0.04,0.04,K0,1.6,0.9,1.4,5260,100,100,,,
WASP-141 b,Confirmed,2.69,0.15,0.15,,,,1.21,0.08,0.08,3.310651,5.00E-06,5.00E-06,0.0469,0.0007,0.0007,0,,,87.6,1.3,1.3,,2016,7/11/16,,,,,,,,,,2457019.595,0.0003,0.0003,,,,,,,0.31,0.12,0.12,,,,315,15,15,1540,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-141,71.82500001,-17.11527779,12.4,,,,,570,150,150,0.29,0.09,0.09,1.25,0.06,0.06,1.37,0.07,0.07,F9,4,2.4,4.6,5900,120,120,,,
WASP-142 b,Confirmed,0.84,0.09,0.09,,,,1.53,0.08,0.08,2.052868,2.00E-06,2.00E-06,0.0347,0.0007,0.0007,0,,,80.2,0.6,0.6,,2016,7/11/16,,,,,,,,,,2457007.778,0.0004,0.0004,,,,,,,0.77,0.02,0.02,,,,109,10,10,2000,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-142,140.5083333,-23.94611114,12.3,,,,,840,310,310,0.26,0.12,0.12,1.33,0.08,0.08,1.64,0.08,0.08,F8,2,,,6010,140,140,,,
WASP-15 b,Confirmed,0.542,0.05,0.05,,,,1.428,0.077,0.077,3.7520656,2.80E-06,2.80E-06,0.0499,0.0018,0.0018,0,,,85.5,0.5,0.5,0.000162,2008,6/18/13,,,,,,,,,,2454584.698,0.00029,0.00029,,,,,,,,,,,,,,,,0,,,,,0,,,,Announced on a professional conference,Primary Transit,,,,,WASP-15,208.9291667,-32.1597222,10.9,,,,,308,,,-0.17,0.11,0.11,1.18,0.12,0.12,1.477,0.072,0.072,F7,3.9,1.3,1.3,6300,100,100,,,
WASP-151 b,Confirmed,0.31,0.03,0.04,,,,1.13,0.03,0.03,4.533471,4.00E-06,4.00E-06,0.055,0.001,0.001,0,0,0.003,89.2,0.6,0.6,,2017,11/6/17,310,30,120,,,,,,,2457741.008,0.0002,0.0001,,,,,,,,,,,,,37,3,4,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-151,349.0634167,0.306805567,12.9,,,,,480,75,75,0.1,0.1,0.1,1.077,0.081,0.081,1.14,0.03,0.03,G1,5.1,1.3,1.3,5871,57,57,,,K2-134| EPIC 246441449| 2MASS J23161522+0018242
WASP-153 b,Confirmed,0.39,0.02,0.02,,,,1.55,0.08,0.1,3.332609,2.00E-06,2.00E-06,0.048,0.001,0.001,0,0,0.009,84.1,0.7,0.7,,2017,11/6/17,,,,,,,,,,2453142.542,0.003,0.003,,,,,,,,,,,,,44,2,2,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-153,279.262375,40.01872222,12.8,,,,,430,35,35,0.34,0.11,0.11,1.336,0.086,0.086,1.73,0.09,0.1,G0,4,0.8,0.8,5914,64,64,,,
WASP-156 b,Confirmed,0.128,0.009,0.01,,,,0.51,0.02,0.02,3.836169,3.00E-06,3.00E-06,0.0453,0.0009,0.0009,0,0,0.007,89.1,0.9,0.6,,2017,11/6/17,,,,,,,,,,2454677.707,0.002,0.002,,,,,,,,,,,,,19,1,1,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-156,32.78170834,2.418000009,11.6,,,,,140,25,25,0.24,0.12,0.12,0.842,0.052,0.052,0.76,0.03,0.03,K3,6.4,4,4,4910,61,61,,,
WASP-18 b,Confirmed,10.43,0.4,0.4,,,,1.165,0.077,0.077,0.9414518,4.00E-07,4.00E-07,0.02047,0.00038,0.00038,0.0088,0.0012,0.0012,86,2.5,2.5,0.000205,2009,1/9/18,269,3,3,,,,,,,2454221.482,0.00038,0.00038,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,H2O,WASP-18,24.3541667,-45.6777778,9.3,,,,,100,10,10,0,0.09,0.09,1.24,0.04,0.04,1.23,0.045,0.045,F6,0.63,0.53,0.53,6400,100,100,,,
WASP-20 b,Confirmed,0.313,0.018,0.018,,,,1.459,0.057,0.057,4.8996285,3.40E-06,3.40E-06,0.06003,0.00067,0.00067,0,,,85.57,0.022,0.022,,2011,2/7/14,,,,,,,,,,2455715.656,0.00028,0.00028,,,,8.1,3.6,3.6,,,,,,,,,,1379,,,,,0,,,,Announced on a professional conference,Primary Transit,,,,,WASP-20,5.160567096,-23.93571308,10.68,,,,,210,20,20,-0.009,0.061,0.061,1.202,0.04,0.04,1.392,0.044,0.044,,7,2,1,5950,100,100,,,CD-24 102| TYC 6413-439-1| 2MASS J00203853-2356086
WASP-24 b,Confirmed,1.071,0.038,0.036,,,,1.3,0.038,0.039,2.3412127,2.00E-06,2.00E-06,0.03651,0.00028,0.00028,0,,,83.64,0.29,0.29,0.000109,2010,7/24/14,,,,,,,,,,2455081.379,0.00017,0.00017,,,,,,,,,,,,,,,,0,,,,,0,,,,Announced on a website,Primary Transit,,,,,WASP-24,227.2166667,2.3433333,11.3,,,,,332.5,,,0.07,0.1,0.1,1.129,0.025,0.025,1.147,0.048,0.048,F8-9,1.6,1.6,1.6,6075,100,100,,,USNO-B1.0 0923-0348089| 2MASS J15085174+0220358| TYC 339-329-1
